1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1054,0,0,3,0,4,1,763,0,2,6,1,0,4,173,1,1,2,5,0,2,3,8,8,0,2,1,6,480,2,5,2,5,1,1963.0,1054,0,1,0,6,616,1,2,3,0,8800,4,80.0,3,0,85,3,156.0,1,0,5,12,0,7,6,2,0,1,1,0,8,0,1,6,936,0,120,1963,1963,2010
1120,0,0,3,0,4,4,206,0,0,6,0,0,2,914,1,1,2,5,0,4,3,12,13,0,2,1,6,0,0,3,1,3,6,1980.0,1120,0,1,0,2,614,1,3,3,0,8402,4,70.0,3,0,20,3,0.0,3,0,12,11,30,5,5,2,0,1,1,5,6,0,1,6,1120,0,0,2007,2007,2007
1616,0,0,3,0,4,0,0,0,6,6,0,0,2,1616,1,2,2,5,0,4,2,12,13,0,2,2,6,834,3,5,2,5,1,2005.0,1616,0,1,0,2,1304,1,2,3,0,8688,4,73.0,3,0,20,3,228.0,1,0,4,21,59,5,7,2,0,1,1,4,8,0,1,7,1616,0,208,2005,2005,2006
1073,0,0,3,0,4,4,836,0,0,6,1,0,4,237,1,2,2,5,0,4,3,8,8,0,1,1,6,515,2,5,2,5,1,1965.0,1073,1,1,4,2,487,1,3,3,0,10289,4,79.0,3,0,20,3,168.0,1,0,6,12,0,7,5,2,0,1,3,4,8,0,1,6,1073,0,0,1965,1965,2007
1389,0,0,2,0,4,0,1071,123,0,3,1,0,2,195,1,2,2,5,0,4,3,6,6,1,1,1,6,418,2,5,2,5,1,1975.0,1389,0,1,2,2,562,1,3,3,1,10010,4,77.0,3,0,20,3,0.0,3,0,4,11,38,5,5,2,0,1,1,4,8,0,1,6,1389,0,240,1974,1975,2006
861,0,0,1,0,4,4,262,0,1,6,0,0,4,599,1,2,2,5,0,4,3,12,13,0,1,1,6,539,2,5,3,5,5,1961.0,861,0,1,0,2,309,1,3,3,0,12342,4,69.0,0,0,30,3,0.0,3,0,3,7,0,5,4,2,0,1,1,4,8,0,1,4,861,0,158,1940,1950,2009
575,560,0,3,0,1,4,350,210,0,1,1,0,2,0,1,1,2,5,0,2,2,13,14,0,2,1,6,576,2,5,2,5,5,1971.0,1135,0,1,0,5,462,1,2,3,0,7200,4,60.0,3,0,70,3,0.0,3,0,4,18,0,9,7,2,0,1,1,4,8,0,1,6,560,0,256,1936,2007,2009
1466,1362,0,4,0,4,1,1150,0,2,6,1,0,0,316,1,2,2,5,0,4,2,12,13,1,2,3,6,1052,3,5,2,5,3,2006.0,2828,0,1,0,5,1143,1,2,3,0,9965,4,77.0,3,0,60,3,340.0,4,0,4,5,144,5,8,2,0,1,3,5,6,0,1,11,1466,0,125,2006,2007,2007
1616,0,0,2,4,4,4,1180,0,2,6,1,0,2,415,1,2,2,5,0,4,2,5,5,1,2,2,6,608,2,5,2,5,1,1995.0,1616,0,1,0,2,731,1,2,3,0,5389,4,39.0,0,0,120,3,0.0,3,0,3,22,152,5,8,2,0,1,1,4,8,0,1,5,1595,0,237,1995,1996,2010
1437,0,0,3,0,4,1,1157,0,0,6,1,0,2,280,1,2,2,5,0,2,2,9,10,1,1,2,6,528,2,5,2,5,1,1976.0,1437,0,1,4,2,1156,1,2,3,0,10768,0,90.0,0,0,20,3,0.0,3,0,7,24,21,8,5,2,0,1,1,4,8,180,1,6,1437,0,0,1976,2004,2007
1630,0,0,3,0,4,4,0,0,6,6,0,0,2,1630,1,2,2,5,0,4,2,12,13,1,2,2,6,451,2,5,3,5,1,2000.0,1630,0,1,0,2,1204,1,2,3,0,9750,4,75.0,3,0,20,3,171.0,1,0,10,5,234,5,7,2,0,1,1,4,8,0,1,6,1630,0,74,2000,2001,2009
1800,0,0,3,0,4,1,1274,0,2,6,1,0,0,526,1,2,2,5,0,4,2,12,13,1,2,2,6,765,3,5,0,5,1,2002.0,1800,0,1,0,2,701,1,2,3,0,14331,4,85.0,3,0,20,3,630.0,1,0,5,23,78,5,8,2,0,1,3,4,8,0,1,7,1800,0,270,2002,2002,2006
1094,761,0,3,0,4,4,0,0,6,6,0,0,4,528,1,1,2,5,0,2,2,9,10,1,1,2,6,512,2,5,2,5,1,1976.0,1855,1,1,0,7,850,1,3,3,0,9600,2,80.0,3,0,80,3,360.0,1,0,8,24,100,7,6,2,0,1,3,4,8,0,1,7,528,0,113,1976,1994,2007
892,783,0,3,0,4,4,0,0,6,6,0,0,2,841,1,6,2,5,0,4,3,12,13,1,2,2,6,502,2,5,0,5,3,1999.0,1675,1,1,0,5,1261,1,3,3,0,24682,1,69.0,2,0,60,3,0.0,3,0,6,8,103,5,6,2,0,1,1,4,8,0,1,7,841,0,0,1999,1999,2009
956,1128,0,4,0,4,4,656,0,2,6,1,0,2,300,1,2,2,5,0,4,2,12,13,0,2,2,6,618,2,5,2,5,3,2004.0,2084,1,1,0,5,788,1,2,3,0,10142,4,76.0,0,0,60,3,0.0,3,0,1,20,45,5,7,2,0,1,1,4,8,0,1,8,956,0,0,2004,2004,2010
616,495,0,3,0,0,2,236,380,3,5,0,1,4,0,0,0,2,5,0,4,3,12,13,0,1,1,6,200,1,1,3,5,5,1941.0,1111,0,1,4,0,353,1,3,3,0,9084,4,60.0,3,0,50,3,0.0,3,0,3,7,0,6,5,2,0,1,1,4,5,0,1,5,616,0,48,1941,1950,2008
